timestamp,regime_label,TREND,CHOP,RISK_OFF,mode
2019-01-01T00:00:00+00:00,RISK_OFF,0.00015960441553976412,6.327728406562634e-05,0.9997771183004074,pairs_only
2019-01-02T00:00:00+00:00,RISK_OFF,0.0005034330357144589,0.0001983031448309389,0.9992982638194569,pairs_only
2019-01-03T00:00:00+00:00,RISK_OFF,0.0016499945594913613,0.0006763833937352838,0.9976736220467628,pairs_only
2019-01-04T00:00:00+00:00,RISK_OFF,0.009090363931358699,0.0042169962406001585,0.9866926398280549,pairs_only
2019-01-07T00:00:00+00:00,RISK_OFF,0.015726621645201874,0.011901933038882448,0.9723714453159086,pairs_only
2019-01-08T00:00:00+00:00,RISK_OFF,0.03631758978568627,0.029117529300633233,0.9345648809136711,pairs_only
2019-01-09T00:00:00+00:00,RISK_OFF,0.08744771388241385,0.08591958956765695,0.8266326965499274,pairs_only
2019-01-10T00:00:00+00:00,TREND,0.43942414982303757,0.42434858869589476,0.13622726148107203,pairs_only
2019-01-11T00:00:00+00:00,CHOP,0.4791418158275564,0.5160864306708813,0.004771753501558017,pairs_only
2019-01-14T00:00:00+00:00,TREND,0.5066977480233057,0.4925945152417522,0.0007077367349456701,pairs_only
2019-01-15T00:00:00+00:00,CHOP,0.48137300271421646,0.5180907258669665,0.0005362714188288994,pairs_only
2019-01-16T00:00:00+00:00,TREND,0.5078729236248236,0.49188614451270396,0.00024093186246946233,pairs_only
2019-01-17T00:00:00+00:00,CHOP,0.4799002500052867,0.5193712275635406,0.0007285224311859019,pairs_only
2019-01-18T00:00:00+00:00,TREND,0.5064728617620264,0.4922512195264734,0.0012759187115008318,pairs_only
2019-01-21T00:00:00+00:00,CHOP,0.48016162738813856,0.5187172072041893,0.0011211654076855825,pairs_only
2019-01-22T00:00:00+00:00,TREND,0.5063399473160779,0.4925392410192082,0.0011208116647117097,pairs_only
2019-01-23T00:00:00+00:00,CHOP,0.48012555397319223,0.5185840328047011,0.0012904132221171441,pairs_only
2019-01-24T00:00:00+00:00,TREND,0.505516177244321,0.49277736377660464,0.0017064589790869366,pairs_only
2019-01-25T00:00:00+00:00,CHOP,0.48115885097933403,0.5178192430692996,0.00102190595135354,pairs_only
2019-01-28T00:00:00+00:00,TREND,0.5057180132878699,0.4933244859559683,0.000957500756150764,pairs_only
2019-01-29T00:00:00+00:00,CHOP,0.47916250339476646,0.5180372389392571,0.0028002576659776467,pairs_only
2019-01-30T00:00:00+00:00,TREND,0.5029940572329711,0.4920905071684933,0.0049154355985465865,pairs_only
2019-01-31T00:00:00+00:00,CHOP,0.4785471243179997,0.516571475536887,0.004881400145115681,pairs_only
2019-02-01T00:00:00+00:00,TREND,0.5000047942703724,0.49102200443621735,0.008973201293398278,pairs_only
2019-02-04T00:00:00+00:00,CHOP,0.47560632013302506,0.5129909212085703,0.011402758658411647,pairs_only
2019-02-05T00:00:00+00:00,TREND,0.4975431368700198,0.4891316512645481,0.0133252118654329,pairs_only
2019-02-06T00:00:00+00:00,CHOP,0.4743785946805542,0.5112015319216157,0.014419873397820835,pairs_only
2019-02-07T00:00:00+00:00,TREND,0.4951717957835018,0.48751579643364606,0.017312407782857104,pairs_only
2019-02-08T00:00:00+00:00,CHOP,0.47306772934044,0.5056513851214585,0.02128088553809486,pairs_only
2019-02-11T00:00:00+00:00,TREND,0.601726996217355,0.38049011175808045,0.017782892024561993,pairs_only
